epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2052.68,0.59169,0.36376,0.89129,0.99961,0.99838,0.995,0.8826,0.52284,0.30207,0.78469,0.007723,0.007723,0.007723
71,2082.24,0.58623,0.35931,0.88829,0.9999,0.99838,0.995,0.87048,0.55073,0.29622,0.78805,0.00769,0.00769,0.00769
72,2109.81,0.57913,0.35981,0.88731,0.9967,1,0.995,0.8923,0.5009,0.29259,0.77833,0.007657,0.007657,0.007657
73,2139.66,0.5891,0.36002,0.89188,0.99973,0.99838,0.995,0.85209,0.61239,0.31686,0.7984,0.007624,0.007624,0.007624
74,2169.39,0.58734,0.35452,0.89083,1,0.99812,0.995,0.89343,0.47898,0.28083,0.77283,0.007591,0.007591,0.007591
75,2196.6,0.57678,0.35399,0.88599,0.99983,1,0.995,0.8762,0.50717,0.29615,0.77805,0.007558,0.007558,0.007558
76,2226.28,0.57433,0.35373,0.88834,0.99838,0.9996,0.995,0.86038,0.61279,0.30816,0.80027,0.007525,0.007525,0.007525
77,2254.36,0.58697,0.35384,0.88838,0.99989,1,0.995,0.86962,0.56992,0.29635,0.78915,0.007492,0.007492,0.007492
78,2284.79,0.57999,0.35828,0.88567,0.99808,0.99838,0.995,0.87796,0.51722,0.28731,0.78229,0.007459,0.007459,0.007459
79,2315.69,0.57546,0.34969,0.89012,0.99968,1,0.995,0.88217,0.50811,0.28207,0.77909,0.007426,0.007426,0.007426
80,2342.34,0.58033,0.35623,0.8906,1,0.99962,0.995,0.89855,0.4839,0.28258,0.77756,0.007393,0.007393,0.007393
81,2373.57,0.57946,0.35537,0.88319,0.99981,1,0.995,0.91035,0.46476,0.2743,0.77555,0.00736,0.00736,0.00736
82,2403.61,0.57947,0.35002,0.88817,0.99984,0.99838,0.995,0.89646,0.47886,0.27472,0.77758,0.007327,0.007327,0.007327
83,2431.55,0.57155,0.35261,0.88835,0.99811,0.99838,0.99498,0.88763,0.52435,0.28746,0.78397,0.007294,0.007294,0.007294
84,2462.02,0.57608,0.34827,0.8865,0.99988,1,0.995,0.88949,0.50397,0.27221,0.77793,0.007261,0.007261,0.007261
85,2488.73,0.57369,0.34752,0.88861,0.99984,1,0.995,0.88175,0.52384,0.27682,0.78239,0.007228,0.007228,0.007228
86,2518.83,0.56628,0.34737,0.88447,1,0.99798,0.995,0.86426,0.53852,0.28698,0.78546,0.007195,0.007195,0.007195
87,2548.31,0.56922,0.34646,0.88764,0.99986,1,0.995,0.88075,0.55534,0.28771,0.79023,0.007162,0.007162,0.007162
88,2579.19,0.57025,0.34903,0.88694,0.99979,1,0.995,0.89586,0.50394,0.27257,0.78026,0.007129,0.007129,0.007129
89,2605.74,0.57115,0.34626,0.88753,0.99981,1,0.995,0.87741,0.56263,0.28828,0.78547,0.007096,0.007096,0.007096
90,2635.73,0.56354,0.34007,0.88409,1,0.99992,0.995,0.88219,0.49906,0.26858,0.7788,0.007063,0.007063,0.007063
